       Step     Time          Energy         fmax
MDMin:    0 17:49:45      -93.393817        7.5746
MDMin:    1 17:51:33      -94.759988        1.9278
MDMin:    2 17:53:33      -94.822746        1.4327
MDMin:    3 17:55:01      -94.900737        1.0551
       Step     Time          Energy         fmax
MDMin:    0 17:58:59      -93.350821        7.6802
MDMin:    1 18:00:05      -94.752135        1.9178
MDMin:    2 18:01:13      -94.818536        1.4384
MDMin:    3 18:02:02      -94.894328        1.0614
MDMin:    4 18:03:01      -94.975075        0.4935
MDMin:    5 18:03:49      -94.995796        0.2452
MDMin:    6 18:04:38      -95.012529        0.2811
MDMin:    7 18:05:25      -95.018004        0.2707
MDMin:    8 18:06:10      -95.022976        0.1081
MDMin:    9 18:06:44      -95.023708        0.0709
MDMin:   10 18:07:18      -95.024273        0.0665
MDMin:   11 18:07:51      -95.024470        0.0691
MDMin:   12 18:08:24      -95.024620        0.0485
       Step     Time          Energy         fmax
MDMin:    0 02:17:55      -93.601722        7.2964
MDMin:    1 02:36:22      -94.869803        1.9602
MDMin:    2 02:55:06      -94.933122        1.3196
MDMin:    3 03:07:00      -95.002151        0.9960
MDMin:    4 03:21:26      -95.080771        0.4291
MDMin:    5 03:31:46      -95.104284        0.2462
MDMin:    6 03:43:57      -95.119286        0.3341
MDMin:    7 03:55:56      -95.123172        0.2555
MDMin:    8 04:03:55      -95.125504        0.1862
MDMin:    9 04:11:50      -95.128244        0.1126
MDMin:   10 04:20:44      -95.129570        0.0652
MDMin:   11 04:28:45      -95.130508        0.0909
MDMin:   12 04:36:34      -95.130841        0.0839
MDMin:   13 04:42:20      -95.131095        0.0592
MDMin:   14 04:50:43      -95.131336        0.0374
       Step     Time          Energy         fmax
MDMin:    0 14:11:17      -93.602452        7.2940
MDMin:    1 14:17:46      -94.869793        1.9470
MDMin:    2 14:24:22      -94.933549        1.3079
MDMin:    3 14:28:59      -95.002348        0.9814
MDMin:    4 14:34:15      -95.080740        0.4317
MDMin:    5 14:38:36      -95.103812        0.2457
MDMin:    6 14:42:58      -95.119375        0.3357
MDMin:    7 14:47:36      -95.121551        0.3015
MDMin:    8 14:50:42      -95.125044        0.2192
MDMin:    9 14:54:19      -95.128722        0.1043
MDMin:   10 14:57:24      -95.129726        0.0713
MDMin:   11 15:00:29      -95.130552        0.0686
MDMin:   12 15:03:35      -95.131087        0.0746
MDMin:   13 15:06:37      -95.131221        0.0319
