       Step     Time          Energy         fmax
MDMin:    0 17:49:45      -93.393817        7.5746
MDMin:    1 17:51:33      -94.759988        1.9278
MDMin:    2 17:53:33      -94.822746        1.4327
MDMin:    3 17:55:01      -94.900737        1.0551
MDMin:    4 17:56:46      -94.982845        0.5055
MDMin:    5 17:58:08      -95.003553        0.2587
MDMin:    6 17:59:35      -95.017900        0.3177
MDMin:    7 18:00:58      -95.020424        0.2894
MDMin:    8 18:02:07      -95.025025        0.1286
MDMin:    9 18:03:22      -95.025826        0.1437
MDMin:   10 18:04:21      -95.025955        0.0848
MDMin:   11 18:05:18      -95.026003        0.0989
MDMin:   12 18:06:15      -95.025924        0.0541
MDMin:   13 18:07:10      -95.025709        0.0649
MDMin:   14 18:08:06      -95.025416        0.0462
       Step     Time          Energy         fmax
MDMin:    0 02:59:08      -93.641147        7.1945
MDMin:    1 03:32:13      -94.876434        1.9817
MDMin:    2 04:07:24      -94.937628        1.3328
MDMin:    3 04:31:56      -95.007999        1.0036
MDMin:    4 04:57:32      -95.087504        0.4387
MDMin:    5 05:15:04      -95.110132        0.2473
MDMin:    6 05:31:38      -95.123270        0.3373
MDMin:    7 05:47:40      -95.127489        0.2331
MDMin:    8 05:59:00      -95.129159        0.1505
MDMin:    9 06:10:24      -95.130822        0.1314
MDMin:   10 06:21:52      -95.131824        0.0876
MDMin:   11 06:34:19      -95.132206        0.1082
MDMin:   12 06:45:45      -95.132388        0.1103
MDMin:   13 06:57:04      -95.132434        0.0506
MDMin:   14 07:06:00      -95.132449        0.0508
MDMin:   15 07:17:07      -95.132367        0.0445
       Step     Time          Energy         fmax
MDMin:    0 18:47:29      -93.641147        7.1945
MDMin:    1 19:23:33      -94.876434        1.9817
MDMin:    2 20:01:04      -94.937628        1.3328
MDMin:    3 20:26:38      -95.007999        1.0036
MDMin:    4 20:56:08      -95.087504        0.4387
MDMin:    5 21:21:50      -95.110132        0.2473
MDMin:    6 21:46:07      -95.123270        0.3373
MDMin:    7 22:09:30      -95.127489        0.2331
MDMin:    8 22:25:49      -95.129159        0.1505
MDMin:    9 22:42:46      -95.130822        0.1314
MDMin:   10 22:59:48      -95.131824        0.0876
MDMin:   11 23:18:11      -95.132206        0.1082
MDMin:   12 23:35:12      -95.132388        0.1103
MDMin:   13 23:51:03      -95.132434        0.0506
MDMin:   14 00:04:15      -95.132449        0.0508
MDMin:   15 00:20:15      -95.132367        0.0445
       Step     Time          Energy         fmax
MDMin:    0 14:29:14      -93.660664        7.1448
MDMin:    1 14:44:15      -94.879515        1.9729
MDMin:    2 14:59:27      -94.938895        1.3307
MDMin:    3 15:10:06      -95.010255        0.9991
MDMin:    4 15:22:18      -95.090664        0.4434
MDMin:    5 15:32:25      -95.112390        0.2454
MDMin:    6 15:42:29      -95.125164        0.3345
MDMin:    7 15:52:29      -95.128585        0.2607
MDMin:    8 15:59:24      -95.130236        0.1775
MDMin:    9 16:06:32      -95.132079        0.1337
MDMin:   10 16:13:41      -95.132823        0.0899
MDMin:   11 16:20:49      -95.133070        0.1024
MDMin:   12 16:27:58      -95.133024        0.1143
MDMin:   13 16:34:48      -95.133032        0.0570
MDMin:   14 16:41:42      -95.132957        0.0591
MDMin:   15 16:48:37      -95.132805        0.0498
