       Step     Time          Energy         fmax
MDMin:    0 06:56:46     -189.915208        3.6210
MDMin:    1 07:01:33     -190.499692        2.3778
MDMin:    2 07:07:01     -191.073922        0.7940
MDMin:    3 07:12:10     -191.241459        0.3593
MDMin:    4 07:16:43     -191.282896        0.4286
MDMin:    5 07:20:24     -191.309663        0.2489
MDMin:    6 07:23:36     -191.326293        0.2144
MDMin:    7 07:26:49     -191.345313        0.2099
MDMin:    8 07:30:18     -191.365474        0.1786
MDMin:    9 07:34:13     -191.382701        0.2197
MDMin:   10 07:38:06     -191.392947        0.2430
MDMin:   11 07:41:06     -191.400834        0.1520
MDMin:   12 07:43:49     -191.406769        0.1404
MDMin:   13 07:46:16     -191.413722        0.1293
MDMin:   14 07:48:40     -191.421204        0.1176
MDMin:   15 07:51:16     -191.428286        0.1037
MDMin:   16 07:54:03     -191.432757        0.2583
MDMin:   17 07:56:13     -191.433733        0.0956
MDMin:   18 07:57:58     -191.435334        0.0864
MDMin:   19 07:59:55     -191.437184        0.0762
MDMin:   20 08:01:52     -191.439003        0.0657
MDMin:   21 08:04:04     -191.440547        0.1030
MDMin:   22 08:06:14     -191.441364        0.1133
MDMin:   23 08:07:58     -191.441662        0.0668
MDMin:   24 08:09:29     -191.442037        0.0645
MDMin:   25 08:11:00     -191.442432        0.0581
MDMin:   26 08:12:44     -191.442861        0.0521
MDMin:   27 08:14:28     -191.443186        0.0511
MDMin:   28 08:16:25     -191.443377        0.0491
       Step     Time          Energy         fmax
MDMin:    0 13:40:06     -190.306555        3.5641
MDMin:    1 14:01:46     -190.863983        2.3822
MDMin:    2 14:26:54     -191.442134        0.8090
MDMin:    3 14:50:11     -191.615040        0.3481
MDMin:    4 15:10:54     -191.660631        0.3378
MDMin:    5 15:28:13     -191.686003        0.2607
MDMin:    6 15:43:58     -191.703743        0.2245
MDMin:    7 15:58:52     -191.722767        0.2188
MDMin:    8 16:15:04     -191.742623        0.1882
MDMin:    9 16:30:59     -191.760282        0.1905
MDMin:   10 16:47:19     -191.771763        0.2161
MDMin:   11 17:00:26     -191.778893        0.1606
MDMin:   12 17:12:02     -191.785008        0.1458
MDMin:   13 17:24:11     -191.792025        0.1345
MDMin:   14 17:37:03     -191.799144        0.1261
MDMin:   15 17:49:56     -191.805025        0.1469
MDMin:   16 18:02:08     -191.807903        0.1507
MDMin:   17 18:12:53     -191.809458        0.1035
MDMin:   18 18:22:06     -191.811304        0.0932
MDMin:   19 18:32:25     -191.813408        0.0796
MDMin:   20 18:44:30     -191.815413        0.0704
MDMin:   21 18:56:45     -191.817008        0.0648
MDMin:   22 19:08:47     -191.817827        0.1596
MDMin:   23 19:17:27     -191.817961        0.0643
MDMin:   24 19:25:36     -191.818218        0.0649
MDMin:   25 19:34:47     -191.818466        0.0554
MDMin:   26 19:44:01     -191.818709        0.0533
MDMin:   27 19:53:57     -191.818838        0.0555
MDMin:   28 20:04:37     -191.818890        0.0523
MDMin:   29 20:15:15     -191.818851        0.0933
MDMin:   30 20:23:52     -191.818828        0.0431
       Step     Time          Energy         fmax
MDMin:    0 16:42:16     -190.306555        3.5641
MDMin:    1 17:00:35     -190.863983        2.3814
MDMin:    2 17:21:23     -191.442171        0.7569
MDMin:    3 17:41:16     -191.615580        0.3477
MDMin:    4 17:58:10     -191.660496        0.3362
MDMin:    5 18:12:24     -191.683704        0.2558
MDMin:    6 18:25:20     -191.701048        0.2288
MDMin:    7 18:38:28     -191.721154        0.2152
MDMin:    8 18:51:53     -191.742754        0.1892
MDMin:    9 19:05:16     -191.762471        0.1814
MDMin:   10 19:18:47     -191.774037        0.1997
MDMin:   11 19:29:15     -191.779002        0.1568
MDMin:   12 19:39:14     -191.785169        0.1455
MDMin:   13 19:49:35     -191.792569        0.1339
MDMin:   14 20:01:05     -191.800490        0.1204
MDMin:   15 20:12:35     -191.808016        0.1055
MDMin:   16 20:24:37     -191.813363        0.1587
MDMin:   17 20:35:23     -191.814767        0.0902
MDMin:   18 20:43:43     -191.815648        0.0907
MDMin:   19 20:50:51     -191.816781        0.0844
MDMin:   20 20:59:20     -191.818006        0.0703
MDMin:   21 21:08:14     -191.819029        0.0609
MDMin:   22 21:18:11     -191.819646        0.0543
MDMin:   23 21:27:57     -191.819765        0.0612
MDMin:   24 21:36:59     -191.819591        0.0621
MDMin:   25 21:42:35     -191.819725        0.0501
MDMin:   26 21:48:49     -191.819800        0.0512
MDMin:   27 21:54:46     -191.819729        0.0513
MDMin:   28 22:01:44     -191.819630        0.0488
