       Step     Time          Energy         fmax
MDMin:    0 18:12:16     -189.959428        3.6578
MDMin:    1 18:19:07     -190.518606        2.4211
MDMin:    2 18:26:56     -191.073358        0.7987
MDMin:    3 18:34:12     -191.242570        0.3728
MDMin:    4 18:40:25     -191.286582        0.4127
MDMin:    5 18:45:47     -191.312209        0.2584
MDMin:    6 18:50:22     -191.328765        0.2310
MDMin:    7 18:55:00     -191.347607        0.2235
MDMin:    8 18:59:58     -191.367795        0.2024
MDMin:    9 19:05:20     -191.386122        0.2707
MDMin:   10 19:10:43     -191.397349        0.2226
MDMin:   11 19:14:53     -191.403057        0.1756
MDMin:   12 19:18:43     -191.409731        0.1652
MDMin:   13 19:22:55     -191.417612        0.1555
MDMin:   14 19:27:05     -191.425886        0.1609
MDMin:   15 19:31:40     -191.432118        0.2245
MDMin:   16 19:36:09     -191.433466        0.1889
MDMin:   17 19:39:56     -191.434232        0.1087
MDMin:   18 19:42:58     -191.435151        0.1039
MDMin:   19 19:46:24     -191.436271        0.0921
MDMin:   20 19:50:13     -191.437415        0.1043
MDMin:   21 19:54:03     -191.438479        0.1431
MDMin:   22 19:58:06     -191.439035        0.1683
MDMin:   23 20:01:53     -191.439266        0.0847
MDMin:   24 20:04:30     -191.439652        0.0880
MDMin:   25 20:07:27     -191.440156        0.0755
MDMin:   26 20:10:28     -191.440752        0.0731
MDMin:   27 20:13:53     -191.441361        0.0604
MDMin:   28 20:17:35     -191.441857        0.0661
MDMin:   29 20:21:23     -191.442072        0.0676
MDMin:   30 20:24:24     -191.442219        0.0608
MDMin:   31 20:26:38     -191.442381        0.0650
MDMin:   32 20:29:38     -191.442568        0.0554
MDMin:   33 20:32:15     -191.442774        0.0647
MDMin:   34 20:35:16     -191.442945        0.0503
MDMin:   35 20:38:16     -191.443104        0.0503
MDMin:   36 20:40:55     -191.443258        0.0549
MDMin:   37 20:43:57     -191.443379        0.0444
       Step     Time          Energy         fmax
MDMin:    0 14:10:11     -190.352037        3.5977
MDMin:    1 14:47:47     -190.885820        2.4239
MDMin:    2 15:33:06     -191.444546        0.8156
MDMin:    3 16:16:12     -191.618730        0.3626
MDMin:    4 16:54:45     -191.665831        0.3150
MDMin:    5 17:26:24     -191.690613        0.2702
MDMin:    6 17:54:00     -191.708017        0.2405
MDMin:    7 18:20:39     -191.726907        0.2318
MDMin:    8 18:48:15     -191.747009        0.2099
MDMin:    9 19:16:00     -191.765703        0.2084
MDMin:   10 19:42:20     -191.778047        0.2201
MDMin:   11 20:04:23     -191.784559        0.1798
MDMin:   12 20:24:44     -191.791252        0.1694
MDMin:   13 20:46:03     -191.797519        0.1333
MDMin:   14 21:08:44     -191.801191        0.1660
MDMin:   15 21:32:51     -191.804205        0.1879
MDMin:   16 21:54:29     -191.806145        0.1762
MDMin:   17 22:13:36     -191.807379        0.1037
MDMin:   18 22:31:42     -191.808707        0.1002
MDMin:   19 22:51:29     -191.810169        0.0938
MDMin:   20 23:11:34     -191.811666        0.1083
MDMin:   21 23:32:24     -191.812838        0.1252
MDMin:   22 23:51:01     -191.813425        0.1007
MDMin:   23 00:06:58     -191.813867        0.0889
MDMin:   24 00:23:04     -191.814382        0.0776
MDMin:   25 00:39:46     -191.815012        0.0750
MDMin:   26 00:57:30     -191.815658        0.0715
MDMin:   27 01:17:44     -191.816256        0.0710
MDMin:   28 01:37:06     -191.816605        0.1450
MDMin:   29 01:52:10     -191.816700        0.0666
MDMin:   30 02:05:13     -191.816873        0.0614
MDMin:   31 02:19:37     -191.817080        0.0628
MDMin:   32 02:34:13     -191.817266        0.0605
MDMin:   33 02:50:39     -191.817490        0.0484
       Step     Time          Energy         fmax
MDMin:    0 15:42:39     -190.374857        3.5863
MDMin:    1 16:12:43     -190.897856        2.4239
MDMin:    2 16:48:52     -191.448736        0.8131
MDMin:    3 17:23:10     -191.622178        0.3645
MDMin:    4 17:53:35     -191.668953        0.3203
MDMin:    5 18:19:08     -191.692831        0.2710
MDMin:    6 18:40:37     -191.709842        0.2450
MDMin:    7 19:01:35     -191.728602        0.2340
MDMin:    8 19:24:42     -191.748836        0.2140
MDMin:    9 19:47:38     -191.767715        0.2093
MDMin:   10 20:10:16     -191.780047        0.2693
MDMin:   11 20:29:39     -191.786283        0.1838
MDMin:   12 20:46:32     -191.793262        0.1747
MDMin:   13 21:04:54     -191.801350        0.1641
MDMin:   14 21:23:47     -191.809307        0.1458
MDMin:   15 21:42:43     -191.810219        0.1538
MDMin:   16 22:00:13     -191.811221        0.1676
MDMin:   17 22:16:23     -191.811913        0.0999
MDMin:   18 22:31:04     -191.812583        0.0927
MDMin:   19 22:47:29     -191.813276        0.0798
MDMin:   20 23:04:10     -191.814082        0.0973
MDMin:   21 23:21:35     -191.814701        0.1215
MDMin:   22 23:37:18     -191.815127        0.1195
MDMin:   23 23:50:15     -191.815372        0.0668
MDMin:   24 00:02:14     -191.815687        0.0685
MDMin:   25 00:16:48     -191.816089        0.0553
MDMin:   26 00:31:51     -191.816555        0.0534
MDMin:   27 00:47:26     -191.816981        0.0466
