       Step     Time          Energy         fmax
MDMin:    0 06:55:59     -187.671959        3.9068
MDMin:    1 06:59:01     -187.940742        3.0034
MDMin:    2 07:02:52     -188.350201        1.3104
MDMin:    3 07:06:37     -188.501573        0.2356
MDMin:    4 07:10:16     -188.477613        0.6589
MDMin:    5 07:12:05     -188.480693        0.6420
MDMin:    6 07:14:33     -188.488517        0.5348
MDMin:    7 07:17:24     -188.497523        0.3745
MDMin:    8 07:20:15     -188.503342        0.1140
MDMin:    9 07:23:12     -188.503043        0.1827
MDMin:   10 07:24:23     -188.503199        0.1735
MDMin:   11 07:26:11     -188.503573        0.1194
MDMin:   12 07:28:05     -188.503961        0.0536
MDMin:   13 07:30:04     -188.504136        0.0133
       Step     Time          Energy         fmax
MDMin:    0 10:21:11     -188.747178        4.8150
MDMin:    1 10:52:06     -189.149802        3.5774
MDMin:    2 11:29:05     -189.719095        1.4518
MDMin:    3 12:06:44     -189.900260        0.2378
MDMin:    4 12:43:11     -189.886505        0.7358
MDMin:    5 12:59:55     -189.888295        0.7204
MDMin:    6 13:26:02     -189.892955        0.6260
MDMin:    7 13:52:57     -189.897917        0.4578
MDMin:    8 14:21:46     -189.900984        0.1918
MDMin:    9 14:50:08     -189.901242        0.1851
MDMin:   10 15:01:23     -189.901251        0.1681
MDMin:   11 15:18:26     -189.901309        0.1192
MDMin:   12 15:38:49     -189.901367        0.0573
MDMin:   13 15:59:27     -189.901398        0.0165
       Step     Time          Energy         fmax
MDMin:    0 00:48:27     -188.746928        4.8158
       Step     Time          Energy         fmax
MDMin:    0 21:11:48     -188.746928        4.8158
MDMin:    1 21:39:07     -189.149667        3.5779
MDMin:    2 22:11:55     -189.719084        1.4519
MDMin:    3 22:46:43     -189.900261        0.2378
MDMin:    4 23:17:21     -189.886527        0.7358
MDMin:    5 23:30:49     -189.888314        0.7204
MDMin:    6 23:51:00     -189.892968        0.6260
MDMin:    7 00:12:18     -189.897923        0.4578
MDMin:    8 00:34:07     -189.900985        0.1918
MDMin:    9 00:55:41     -189.901242        0.1852
MDMin:   10 01:04:50     -189.901251        0.1681
MDMin:   11 01:17:35     -189.901309        0.1192
MDMin:   12 01:32:09     -189.901367        0.0573
MDMin:   13 01:46:57     -189.901398        0.0165
       Step     Time          Energy         fmax
MDMin:    0 15:20:27     -188.756252        4.7899
MDMin:    1 15:38:54     -189.154927        3.5625
MDMin:    2 16:00:49     -189.719473        1.4272
MDMin:    3 16:23:36     -189.900472        0.1619
MDMin:    4 16:43:44     -189.870453        0.6926
MDMin:    5 16:54:40     -189.873896        0.6722
MDMin:    6 17:07:03     -189.882790        0.5836
MDMin:    7 17:21:51     -189.893067        0.4416
MDMin:    8 17:37:18     -189.900054        0.2067
MDMin:    9 17:52:49     -189.901029        0.1375
MDMin:   10 17:59:10     -189.901060        0.1264
MDMin:   11 18:08:32     -189.901151        0.0905
MDMin:   12 18:17:52     -189.901268        0.0479
