       Step     Time          Energy         fmax
MDMin:    0 18:11:09     -187.684149        3.9020
MDMin:    1 18:16:06     -187.945338        2.9953
MDMin:    2 18:21:47     -188.351578        1.3300
MDMin:    3 18:27:16     -188.504685        0.3703
MDMin:    4 18:32:59     -188.497195        0.6985
MDMin:    5 18:35:52     -188.498253        0.6713
MDMin:    6 18:39:44     -188.500983        0.5720
MDMin:    7 18:43:49     -188.503942        0.3895
MDMin:    8 18:48:18     -188.505528        0.0931
MDMin:    9 18:52:46     -188.504939        0.3312
MDMin:   10 18:55:03     -188.504970        0.2945
MDMin:   11 18:57:59     -188.505058        0.1855
MDMin:   12 19:01:13     -188.505115        0.0619
MDMin:   13 19:04:27     -188.505066        0.0532
MDMin:   14 19:06:12     -188.505054        0.0341
       Step     Time          Energy         fmax
MDMin:    0 12:36:29     -188.764299        4.8542
MDMin:    1 13:36:55     -189.147202        3.5558
MDMin:    2 14:52:53     -189.713287        1.4619
MDMin:    3 16:05:44     -189.904484        0.4148
MDMin:    4 17:16:15     -189.900297        0.6769
MDMin:    5 17:48:43     -189.900739        0.6579
MDMin:    6 18:35:59     -189.901799        0.5602
MDMin:    7 19:27:08     -189.902746        0.3904
MDMin:    8 20:22:12     -189.902962        0.1181
MDMin:    9 21:17:06     -189.902004        0.2275
MDMin:   10 21:38:45     -189.901987        0.2070
MDMin:   11 22:14:44     -189.901966        0.1350
MDMin:   12 22:50:49     -189.901901        0.0608
MDMin:   13 23:30:40     -189.901779        0.0323
       Step     Time          Energy         fmax
MDMin:    0 01:00:57     -188.764018        4.8550
       Step     Time          Energy         fmax
MDMin:    0 23:13:43     -188.764018        4.8550
MDMin:    1 00:04:07     -189.147082        3.5562
MDMin:    2 01:08:16     -189.713278        1.4619
MDMin:    3 02:13:37     -189.904489        0.4148
MDMin:    4 03:08:46     -189.900307        0.6768
MDMin:    5 03:32:33     -189.900748        0.6578
MDMin:    6 04:06:41     -189.901805        0.5601
MDMin:    7 04:44:02     -189.902749        0.3903
MDMin:    8 05:24:46     -189.902963        0.1180
MDMin:    9 06:05:38     -189.902004        0.2274
MDMin:   10 06:23:35     -189.901988        0.2069
MDMin:   11 06:49:34     -189.901967        0.1349
MDMin:   12 07:15:22     -189.901901        0.0608
MDMin:   13 07:44:33     -189.901780        0.0323
       Step     Time          Energy         fmax
MDMin:    0 17:14:05     -188.772338        4.8560
MDMin:    1 17:56:07     -189.150747        3.5502
MDMin:    2 18:47:20     -189.714637        1.4675
MDMin:    3 19:38:56     -189.907375        0.3670
MDMin:    4 20:24:47     -189.899206        0.7246
MDMin:    5 20:45:31     -189.899877        0.7040
MDMin:    6 21:17:28     -189.901558        0.6003
MDMin:    7 21:50:20     -189.903159        0.4153
MDMin:    8 22:23:56     -189.903634        0.1293
MDMin:    9 22:57:01     -189.902377        0.2284
MDMin:   10 23:11:26     -189.902360        0.2066
MDMin:   11 23:35:03     -189.902331        0.1355
MDMin:   12 23:58:12     -189.902241        0.0585
MDMin:   13 00:21:51     -189.902096        0.0386
